"id","device_code","breath_rate","heart_rate","event","timestamp","sleep_stage"
22583888,w4lc57jlk4n4d,15,71,,1762416263,2
22583881,w4lc57jlk4n4d,17,68,,1762416259,2
22583882,w4lc57jlk4n4d,17,68,,1762416259,2
22583869,w4lc57jlk4n4d,16,68,,1762416249,2
22583870,w4lc57jlk4n4d,16,68,,1762416249,2
22583857,w4lc57jlk4n4d,17,68,,1762416239,2
22583858,w4lc57jlk4n4d,17,68,,1762416239,2
22583845,w4lc57jlk4n4d,17,68,,1762416229,2
22583846,w4lc57jlk4n4d,17,68,,1762416229,2
22583833,w4lc57jlk4n4d,17,68,,1762416219,2
22583834,w4lc57jlk4n4d,17,68,,1762416219,2
22583821,w4lc57jlk4n4d,15,71,,1762416209,2
22583822,w4lc57jlk4n4d,15,71,,1762416209,2
22583809,w4lc57jlk4n4d,15,78,,1762416199,2
22583810,w4lc57jlk4n4d,15,78,,1762416199,2
22583797,w4lc57jlk4n4d,15,76,,1762416189,2
22583798,w4lc57jlk4n4d,15,76,,1762416189,2
22583785,w4lc57jlk4n4d,15,75,,1762416179,2
22583786,w4lc57jlk4n4d,15,75,,1762416179,2
22583773,w4lc57jlk4n4d,16,77,,1762416169,2
22583774,w4lc57jlk4n4d,16,77,,1762416169,2
22583759,w4lc57jlk4n4d,15,76,,1762416158,2
22583760,w4lc57jlk4n4d,15,76,,1762416158,2
22583749,w4lc57jlk4n4d,15,75,,1762416148,2
22583750,w4lc57jlk4n4d,15,75,,1762416148,2
22583737,w4lc57jlk4n4d,15,78,,1762416138,2
22583738,w4lc57jlk4n4d,15,78,,1762416138,2
22583725,w4lc57jlk4n4d,16,77,,1762416128,2
22583726,w4lc57jlk4n4d,16,77,,1762416128,2
22583713,w4lc57jlk4n4d,15,79,,1762416118,2
22583714,w4lc57jlk4n4d,15,79,,1762416118,2
22583701,w4lc57jlk4n4d,15,77,,1762416108,2
22583702,w4lc57jlk4n4d,15,77,,1762416108,2
22583689,w4lc57jlk4n4d,16,73,,1762416098,2
22583690,w4lc57jlk4n4d,16,73,,1762416098,2
22583677,w4lc57jlk4n4d,16,76,,1762416088,2
22583678,w4lc57jlk4n4d,16,76,,1762416088,2
22583665,w4lc57jlk4n4d,15,70,,1762416078,2
22583666,w4lc57jlk4n4d,15,70,,1762416078,2
22583653,w4lc57jlk4n4d,15,73,,1762416068,2
22583654,w4lc57jlk4n4d,15,73,,1762416068,2
22583641,w4lc57jlk4n4d,15,76,,1762416058,2
22583642,w4lc57jlk4n4d,15,76,,1762416058,2
22583629,w4lc57jlk4n4d,15,78,,1762416048,2
22583630,w4lc57jlk4n4d,15,78,,1762416048,2
22583617,w4lc57jlk4n4d,15,76,,1762416038,2
22583618,w4lc57jlk4n4d,15,76,,1762416038,2
22583605,w4lc57jlk4n4d,15,76,,1762416028,2
22583606,w4lc57jlk4n4d,15,76,,1762416028,2
22583593,w4lc57jlk4n4d,15,77,,1762416018,2
22583594,w4lc57jlk4n4d,15,77,,1762416018,2
22583581,w4lc57jlk4n4d,14,78,,1762416008,2
22583582,w4lc57jlk4n4d,14,78,,1762416008,2
22583569,w4lc57jlk4n4d,15,77,,1762415998,2
22583570,w4lc57jlk4n4d,15,77,,1762415998,2
22583557,w4lc57jlk4n4d,15,76,,1762415988,2
22583558,w4lc57jlk4n4d,15,76,,1762415988,2
22583545,w4lc57jlk4n4d,14,74,,1762415978,2
22583546,w4lc57jlk4n4d,14,74,,1762415978,2
22583533,w4lc57jlk4n4d,14,70,,1762415968,2
22583534,w4lc57jlk4n4d,14,70,,1762415968,2
22583521,w4lc57jlk4n4d,14,75,,1762415958,2
22583522,w4lc57jlk4n4d,14,75,,1762415958,2
22583509,w4lc57jlk4n4d,14,76,,1762415948,2
22583510,w4lc57jlk4n4d,14,76,,1762415948,2
22583497,w4lc57jlk4n4d,15,77,,1762415938,2
22583498,w4lc57jlk4n4d,15,77,,1762415938,2
22583485,w4lc57jlk4n4d,15,76,,1762415928,2
22583486,w4lc57jlk4n4d,15,76,,1762415928,2
22583473,w4lc57jlk4n4d,15,77,,1762415918,2
22583474,w4lc57jlk4n4d,15,77,,1762415918,2
22583461,w4lc57jlk4n4d,15,75,,1762415908,2
22583462,w4lc57jlk4n4d,15,75,,1762415908,2
22583449,w4lc57jlk4n4d,15,74,,1762415898,2
22583450,w4lc57jlk4n4d,15,74,,1762415898,2
22583437,w4lc57jlk4n4d,15,78,,1762415888,2
22583438,w4lc57jlk4n4d,15,78,,1762415888,2
22583425,w4lc57jlk4n4d,15,79,,1762415878,2
22583426,w4lc57jlk4n4d,15,79,,1762415878,2
22583413,w4lc57jlk4n4d,15,77,,1762415868,2
22583414,w4lc57jlk4n4d,15,77,,1762415868,2
22583401,w4lc57jlk4n4d,14,80,,1762415858,2
22583402,w4lc57jlk4n4d,14,80,,1762415858,2
22583391,w4lc57jlk4n4d,14,78,,1762415848,2
22583392,w4lc57jlk4n4d,14,78,,1762415848,2
22583379,w4lc57jlk4n4d,13,75,,1762415837,2
22583380,w4lc57jlk4n4d,13,75,,1762415837,2
22583365,w4lc57jlk4n4d,13,78,,1762415827,2
