"id","device_id","time_stamp","left_right","breath","heart","turn_over","body_move","sit_up","init_status","bed_status","signal_quality"
22584409,w4lc57jlk4n4d,1762416701,0,15,84,0,0,0,0,0,0
22584410,w4lc57jlk4n4d,1762416701,0,15,84,0,0,0,0,0,0
22584399,w4lc57jlk4n4d,1762416691,0,15,82,0,0,0,0,0,0
22584400,w4lc57jlk4n4d,1762416691,0,15,82,0,0,0,0,0,0
22584387,w4lc57jlk4n4d,1762416681,0,15,82,0,0,0,0,0,0
22584388,w4lc57jlk4n4d,1762416681,0,15,82,0,0,0,0,0,0
22584373,w4lc57jlk4n4d,1762416670,0,15,75,0,0,0,0,0,0
22584374,w4lc57jlk4n4d,1762416670,0,15,75,0,0,0,0,0,0
22584363,w4lc57jlk4n4d,1762416660,0,14,81,0,0,0,0,0,0
22584364,w4lc57jlk4n4d,1762416660,0,14,81,0,0,0,0,0,0
22584351,w4lc57jlk4n4d,1762416650,0,15,83,0,0,0,0,0,0
22584352,w4lc57jlk4n4d,1762416650,0,15,83,0,0,0,0,0,0
22584339,w4lc57jlk4n4d,1762416640,0,15,78,0,0,0,0,0,0
22584340,w4lc57jlk4n4d,1762416640,0,15,78,0,0,0,0,0,0
22584327,w4lc57jlk4n4d,1762416630,0,16,70,0,0,0,0,0,0
22584328,w4lc57jlk4n4d,1762416630,0,16,70,0,0,0,0,0,0
22584315,w4lc57jlk4n4d,1762416620,0,15,72,0,0,0,0,0,0
22584316,w4lc57jlk4n4d,1762416620,0,15,72,0,0,0,0,0,0
22584303,w4lc57jlk4n4d,1762416610,0,14,81,0,0,0,0,0,0
22584304,w4lc57jlk4n4d,1762416610,0,14,81,0,0,0,0,0,0
22584291,w4lc57jlk4n4d,1762416600,0,14,82,0,0,0,0,0,0
22584292,w4lc57jlk4n4d,1762416600,0,14,82,0,0,0,0,0,0
22584279,w4lc57jlk4n4d,1762416590,0,15,82,0,0,0,0,0,0
22584280,w4lc57jlk4n4d,1762416590,0,15,82,0,0,0,0,0,0
